dataset,variant,seed,auc,ap,full_auc,full_ap,checkpoint,score_mode
ADFA-LD,Static Concat,11,0.8544860000000001,0.8451671613327219,0.8481225885417562,0.6471548870847091,artifacts/results/ADFA-LD/ablation_adfa_ld_refresh/Static Concat/seed_11/checkpoints/best.pt,normal_ecdf_svdd_unigram_markov
ADFA-LD,Static Concat,22,0.8483160000000001,0.8480940209614519,0.8407686373681899,0.6492414910743142,artifacts/results/ADFA-LD/ablation_adfa_ld_refresh/Static Concat/seed_22/checkpoints/best.pt,normal_ecdf_svdd_unigram_markov
ADFA-LD,Static Concat,33,0.8447760000000001,0.8448869330492115,0.8429289850842185,0.6599837429119252,artifacts/results/ADFA-LD/ablation_adfa_ld_refresh/Static Concat/seed_33/checkpoints/best.pt,normal_ecdf_svdd_unigram_markov
ADFA-LD,Dynamic Attention,11,0.825258,0.8308314440883706,0.8226141740395252,0.6373774837959696,artifacts/results/ADFA-LD/ablation_adfa_ld_refresh/Dynamic Attention/seed_11/checkpoints/best.pt,normal_ecdf_svdd_unigram_markov
ADFA-LD,Dynamic Attention,22,0.83865,0.8290623633066285,0.8339141477940293,0.6370935654599433,artifacts/results/ADFA-LD/ablation_adfa_ld_refresh/Dynamic Attention/seed_22/checkpoints/best.pt,normal_ecdf_svdd_unigram_markov
ADFA-LD,Dynamic Attention,33,0.829044,0.8303255373727445,0.8300481494472501,0.6405318676368634,artifacts/results/ADFA-LD/ablation_adfa_ld_refresh/Dynamic Attention/seed_33/checkpoints/best.pt,normal_ecdf_svdd_unigram_markov
ADFA-LD,Only Max-Pooling,11,0.8332759999999999,0.8357955352077429,0.8325886889270988,0.6449658793645039,artifacts/results/ADFA-LD/ablation_adfa_ld_refresh/Only Max-Pooling/seed_11/checkpoints/best.pt,normal_ecdf_svdd_unigram_markov
ADFA-LD,Only Max-Pooling,22,0.8436500000000001,0.8404285478581577,0.8408235198889349,0.6410325810594141,artifacts/results/ADFA-LD/ablation_adfa_ld_refresh/Only Max-Pooling/seed_22/checkpoints/best.pt,normal_ecdf_svdd_unigram_markov
ADFA-LD,Only Max-Pooling,33,0.84677,0.8491461434437726,0.8479607004358714,0.6642216429177347,artifacts/results/ADFA-LD/ablation_adfa_ld_refresh/Only Max-Pooling/seed_33/checkpoints/best.pt,normal_ecdf_svdd_unigram_markov
ADFA-LD,Only Mean-Pooling,11,0.8119519999999999,0.7954329078744198,0.812203051836081,0.594148330391673,artifacts/results/ADFA-LD/ablation_adfa_ld_refresh/Only Mean-Pooling/seed_11/checkpoints/best.pt,normal_ecdf_svdd_unigram_markov
ADFA-LD,Only Mean-Pooling,22,0.855784,0.8182891933344185,0.8550957347389799,0.6201369977528148,artifacts/results/ADFA-LD/ablation_adfa_ld_refresh/Only Mean-Pooling/seed_22/checkpoints/best.pt,normal_ecdf_svdd_unigram_markov
ADFA-LD,Only Mean-Pooling,33,0.779054,0.7611978489649329,0.7811665264454033,0.5368174728492807,artifacts/results/ADFA-LD/ablation_adfa_ld_refresh/Only Mean-Pooling/seed_33/checkpoints/best.pt,normal_ecdf_svdd_unigram_markov
ADFA-LD,w/o SSL,11,0.8251240000000001,0.825412794775413,0.8257240813463204,0.6365811604406255,artifacts/results/ADFA-LD/ablation_adfa_ld_refresh/w/o SSL/seed_11/checkpoints/best.pt,normal_ecdf_svdd_unigram_markov
ADFA-LD,w/o SSL,22,0.8264,0.8222615276000619,0.823205310911013,0.626653871107934,artifacts/results/ADFA-LD/ablation_adfa_ld_refresh/w/o SSL/seed_22/checkpoints/best.pt,normal_ecdf_svdd_unigram_markov
ADFA-LD,w/o SSL,33,0.8251780000000001,0.8259536298701313,0.8240113787715636,0.6308200793298249,artifacts/results/ADFA-LD/ablation_adfa_ld_refresh/w/o SSL/seed_33/checkpoints/best.pt,normal_ecdf_svdd_unigram_markov
ADFA-LD,Ours (Full),11,0.8199519999999999,0.8243635074468635,0.8179007159869409,0.6333213838726772,artifacts/results/ADFA-LD/ablation_adfa_ld_refresh/Ours (Full)/seed_11/checkpoints/best.pt,normal_ecdf_svdd_unigram_markov
ADFA-LD,Ours (Full),22,0.8381080000000001,0.8277011325405879,0.8326699395863023,0.635042647979589,artifacts/results/ADFA-LD/ablation_adfa_ld_refresh/Ours (Full)/seed_22/checkpoints/best.pt,normal_ecdf_svdd_unigram_markov
ADFA-LD,Ours (Full),33,0.8346960000000001,0.835719625426422,0.8332279629815864,0.6456853046122718,artifacts/results/ADFA-LD/ablation_adfa_ld_refresh/Ours (Full)/seed_33/checkpoints/best.pt,normal_ecdf_svdd_unigram_markov
