dataset,seed,auc,ap,epochs_completed,training_seconds,peak_gpu_memory_mb
ADFA-LD,1,0.8136014829931638,0.5103114167641929,10,286.41610050946474,5325.197265625
ADFA-LD,2,0.7943429305181156,0.4955775448543467,10,315.572787752375,6121.2109375
ADFA-LD,3,0.7991085116350944,0.4975741307996261,10,340.6126868240535,6121.2109375
ADFA-LD,4,0.80618651717363,0.4937237180270288,10,352.55894062668085,6121.2109375
ADFA-LD,5,0.7979802005940804,0.485403820039465,10,344.9547493942082,6121.2109375
ADFA-LD,6,0.8191341929755279,0.5096752741799513,10,329.2267203554511,6121.2109375
ADFA-LD,7,0.7960412225985984,0.5031910123358249,10,297.48272724822164,6121.2109375
ADFA-LD,8,0.7749543769883417,0.4848205268681793,10,298.20724902302027,6121.2109375
ADFA-LD,9,0.8298647989030855,0.5181994135786776,10,316.1649501491338,6121.2109375
ADFA-LD,10,0.8068012627272259,0.504466061011714,10,338.44026316702366,6121.2109375
ADFA-LD,11,0.7686554579593757,0.492315906910829,10,335.74648606963456,10002.66748046875
ADFA-LD,12,0.7808890477790669,0.4942131878087383,10,344.19843693450093,6121.2109375
ADFA-LD,13,0.8079617674256603,0.4938197538303264,10,346.0095299631357,6121.2109375
ADFA-LD,14,0.8181751285906659,0.5035313963029789,10,326.1900834161788,6121.2109375
ADFA-LD,15,0.8047911520791583,0.4987423717277793,10,297.5712352320552,6121.2109375
ADFA-LD,16,0.7597914709496698,0.4750479630294101,10,301.8485477305949,6278.375
ADFA-LD,17,0.8010097770604553,0.4997000845984136,10,324.3349586240947,6278.375
ADFA-LD,18,0.8015576824491217,0.4873762857842852,10,336.8812445253134,6278.375
ADFA-LD,19,0.8233061843709297,0.5167577653436148,10,354.0883131045848,6278.375
ADFA-LD,20,0.8253987721032454,0.5074032935211368,10,331.54788644611835,6278.375
ADFA-LD,22,0.8080445511161695,0.4923119911164852,10,307.58272465877235,10002.66748046875
ADFA-LD,33,0.7824751219679708,0.5024623153865193,10,293.64407812431455,10002.66748046875
FlowGraph,1,0.0308,0.2693112437029171,10,309.6866112090647,2603.9697265625
FlowGraph,2,0.96712,0.9772114072947468,6,201.21918958239257,2603.9697265625
FlowGraph,3,0.99928,0.9991055844622658,14,479.7191839311272,2603.9697265625
FlowGraph,4,0.98584,0.986734800893448,7,243.58109291642904,2603.9697265625
FlowGraph,5,0.96024,0.974821550176113,9,323.8037239294499,2603.9697265625
FlowGraph,6,0.98744,0.9878721430264026,15,523.5729518104345,2603.9697265625
FlowGraph,7,0.996,0.9953695763066552,14,480.3342583104968,2603.9697265625
FlowGraph,8,0.9888,0.9888874888522,6,203.0153707843274,2603.9697265625
FlowGraph,9,0.1828,0.3014554523159362,15,504.2070240341127,2603.9697265625
FlowGraph,10,1.0,1.0,10,354.97755173034966,2603.9697265625
FlowGraph,11,0.97336,0.9797747226362172,6,214.17437973245976,2705.5703125
FlowGraph,12,0.96984,0.978258554735973,8,269.8955561928451,2603.9697265625
FlowGraph,13,0.9764,0.9812086662825168,13,449.1011654622853,2603.9697265625
FlowGraph,14,0.98304,0.98489977698424,7,226.3644460216165,2603.9697265625
FlowGraph,15,0.9692,0.9779985631057792,7,238.8742378409952,2603.9697265625
FlowGraph,16,0.99648,0.9961836417550702,8,272.3780383914709,2603.9697265625
FlowGraph,17,0.9696,0.9781594767120292,8,275.42352760769427,2603.9697265625
FlowGraph,18,1.0,1.0,7,253.31512589007616,2603.9697265625
FlowGraph,19,0.97632,0.981169358106416,15,511.3024002406746,2603.9697265625
FlowGraph,20,0.99968,0.9995979391816732,15,521.1240828316659,2603.9697265625
FlowGraph,22,0.9896,0.9895357581009294,10,349.26135055720806,2705.5703125
FlowGraph,33,0.0308,0.2692233127037721,9,322.6175128277391,2705.5703125
HDFS,1,0.7323736804860586,0.6363018330254373,5,33.20249227620661,1309.40673828125
HDFS,2,0.7409513062193545,0.6347482738727824,4,25.20247415825725,1311.61083984375
HDFS,3,0.7266433993945205,0.6302664205660784,4,25.203159768134356,1311.9833984375
HDFS,4,0.7322773732408225,0.633503278587244,4,25.20822208933532,1314.294921875
HDFS,5,0.7573497083565377,0.6436534166983952,4,25.404679277911782,1314.294921875
HDFS,6,0.7365442029319276,0.6338635655347008,4,25.586864847689867,1319.59765625
HDFS,7,0.7439996398946482,0.6401247313054618,4,25.553716238588095,1319.59765625
HDFS,8,0.7324720813670604,0.6370459284595795,4,25.511243311688304,1319.59765625
HDFS,9,0.7432417437473567,0.6362213911588622,4,25.70275813154876,1319.59765625
HDFS,10,0.7320386987634988,0.6382032291405959,5,35.72308502532542,1319.59765625
HDFS,11,0.7490788002629606,0.6457295737944503,5,31.60148125514388,2362.70556640625
HDFS,12,0.7437065308874085,0.6414189605844668,4,25.33058512210846,1319.59765625
HDFS,13,0.7414904174290989,0.6348941100171537,4,25.37075451388955,1319.59765625
HDFS,14,0.7362751707359967,0.6369388317601314,5,35.02390965633094,1319.59765625
HDFS,15,0.7513462077975371,0.6400652766566494,4,25.588247498497367,1319.59765625
HDFS,16,0.7277750095260427,0.6356383553788245,5,34.379628516733646,1319.59765625
HDFS,17,0.7572785247404938,0.653733842460178,5,34.27810127846897,1319.59765625
HDFS,18,0.7300863834117051,0.6323520083274236,4,25.292918983846903,1319.59765625
HDFS,19,0.727373031458971,0.6353122634150761,5,38.90811853669584,1319.59765625
HDFS,20,0.7326887726688414,0.6342019980421029,4,23.14101354405284,1319.59765625
HDFS,22,0.7444288352266779,0.645825828295421,5,33.151755994185805,2362.70556640625
HDFS,33,0.7474468111833648,0.6403224722932904,5,34.30508843623102,2362.70556640625
TraceLog,1,0.8047321713994736,0.7542562261334606,7,85.48335546441376,2552.51220703125
TraceLog,2,0.8103418026248642,0.7550024246815572,7,90.27135415747762,2552.51220703125
TraceLog,3,0.7725708014591727,0.7034790646120187,7,83.89612719789147,2552.51220703125
TraceLog,4,0.8096319990185978,0.7556311789664704,15,196.32559234276417,2591.630859375
TraceLog,5,0.8022833627726382,0.7268673052569955,6,76.48966743983328,2591.630859375
TraceLog,6,0.8093333233866888,0.7549020622584337,15,217.33111125417057,2591.630859375
TraceLog,7,0.7773946477658317,0.7120676285080244,15,229.06183212809265,2713.31298828125
TraceLog,8,0.7775510311216693,0.7059385825268536,15,230.15866541676223,2713.31298828125
TraceLog,9,0.8080568373372723,0.7461294838764955,7,109.79384264349936,2713.31298828125
TraceLog,10,0.7865085371221208,0.7411841008019726,15,239.49953448027372,2713.31298828125
TraceLog,11,0.8196488226626559,0.7515982467373105,15,244.72380454465747,4525.111328125
TraceLog,12,0.8104776019524159,0.7380273931110837,15,226.9004605151713,2713.31298828125
TraceLog,13,0.8072572376344559,0.7376764818888462,15,211.42283202707767,2713.31298828125
TraceLog,14,0.7960575921770746,0.7410981030977524,15,189.3260469455272,2713.31298828125
TraceLog,15,0.8271538422644531,0.776539388023722,7,86.58889538049698,2713.31298828125
TraceLog,16,0.7747853113479334,0.7250703605657711,7,80.7065563146025,2713.31298828125
TraceLog,17,0.8017827149974124,0.7317342310137561,6,76.26445568539202,2713.31298828125
TraceLog,18,0.7877046211281651,0.7129452733436201,15,200.49414746649563,2713.31298828125
TraceLog,19,0.7835839473314119,0.7136869517901533,15,214.04905496910217,2713.31298828125
TraceLog,20,0.7512172896996141,0.7013496611226235,15,228.1361849568784,2713.31298828125
TraceLog,22,0.8242205491597709,0.7711606140596015,7,106.81100432574748,4525.111328125
TraceLog,33,0.8010287040820754,0.7262977226114676,15,221.399121215567,4525.111328125
