prevalence,auc,ap,alert_fraction,alert_budget,precision_at_budget,recall_at_budget,target_fpr,tpr_at_fpr,threshold,precision,recall,f1,mcc,observed_fpr,svdd_auc,svdd_ap,mean_svdd_loss,ssl_auc,ssl_ap,num_graphs,mean_inference_seconds,dataset,run_name,seed,epochs_completed,training_seconds,peak_process_memory_mb,peak_gpu_memory_mb,parameters,device,threshold_source,checkpoint_selection,evaluation_split,max_train_graphs_per_epoch,max_evaluation_graphs,evaluation_sampling,experimental_stage,search,trial_index,trial_id,training.learning_rate,model.deviation_weight,ssl.loss_weight,augmentation.edge_perturbation_rate,augmentation.edge_addition_rate,augmentation.node_type_swap_rate,augmentation.edge_type_swap_rate
0.34575,0.8290847346359569,0.7744415766208852,0.01,40.0,1.0,0.0289226319595083,0.01,0.3593637020968908,0.0017208523117005,0.959758551307847,0.3449023861171366,0.5074468085106383,0.4862723606149159,0.007642338555598,0.8391157875076223,0.7887965071002752,0.0020583223611683,0.6040850040242466,0.5968863753497119,4000,0.0003477266044355,TraceLog,trial_0000_95ed2f55,11,5,53.10912221483886,3908.3671875,2668.5869140625,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_augmentation_five_seed,tracelog_augmentation_confirmation,0,trial_0000_95ed2f55,0.001,0.0,0.01,0.13,0.13,0.1,0.18
0.34575,0.8487728741741176,0.7924469097498934,0.01,40.0,1.0,0.0289226319595083,0.01,0.3904555314533622,0.0020986868743784,0.967741935483871,0.3904555314533622,0.5564142194744977,0.52655465955529,0.0068781047000382,0.8504926766448089,0.7932106494178714,0.0025893909192964,0.744260164434612,0.7097600960335927,4000,0.0003424210716038,TraceLog,trial_0000_95ed2f55,22,4,47.07046548649669,3909.609375,2668.5869140625,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_augmentation_five_seed,tracelog_augmentation_confirmation,0,trial_0000_95ed2f55,0.001,0.0,0.01,0.13,0.13,0.1,0.18
0.34575,0.7927378995615464,0.7587295873856058,0.01,40.0,1.0,0.0289226319595083,0.01,0.3528561099060014,0.0005782806169008,0.9478260869565216,0.3940708604483008,0.5566905005107252,0.5186830462113314,0.011463507833397,0.7995999791120465,0.7731035071653205,0.001266892558342,0.7650248900964851,0.6727275621137203,4000,0.0003472531754523,TraceLog,trial_0000_95ed2f55,33,7,76.47303082048893,3911.21484375,2668.5869140625,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_augmentation_five_seed,tracelog_augmentation_confirmation,0,trial_0000_95ed2f55,0.001,0.0,0.01,0.13,0.13,0.1,0.18
0.34575,0.7985070915431142,0.735355047422843,0.01,40.0,1.0,0.0289226319595083,0.01,0.3492407809110629,0.0028099807258694,0.937984496124031,0.3499638467100506,0.5097419694576093,0.4792107125060451,0.0122277416889568,0.7955213022589105,0.7335524825987393,0.0037381379559665,0.6110830210501391,0.6199215529115977,4000,0.0003446385725401,TraceLog,trial_0000_95ed2f55,44,4,42.71377191320062,3911.21484375,2668.5869140625,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_augmentation_five_seed,tracelog_augmentation_confirmation,0,trial_0000_95ed2f55,0.001,0.0,0.01,0.13,0.13,0.1,0.18
0.34575,0.7902143529528134,0.7586288022958185,0.01,40.0,1.0,0.0289226319595083,0.01,0.4027476500361533,0.0012598042376339,0.948892674616695,0.4027476500361533,0.5654822335025381,0.5259179622097208,0.011463507833397,0.7895218178266526,0.7584034405933262,0.0025089255431448,0.6154990549306207,0.6260388145653175,4000,0.0003491397178731,TraceLog,trial_0000_95ed2f55,55,5,54.106116123497486,3911.48046875,2668.5869140625,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_augmentation_five_seed,tracelog_augmentation_confirmation,0,trial_0000_95ed2f55,0.001,0.0,0.01,0.13,0.13,0.1,0.18
0.34575,0.8398072174510562,0.7888981132914614,0.01,40.0,1.0,0.0289226319595083,0.01,0.3535791757049891,0.0022496606502681,0.958498023715415,0.3506869125090383,0.513499205929063,0.4902784080441679,0.0080244554833779,0.8379136249965808,0.7854168368871222,0.0025467672960949,0.5556083740800389,0.571854651544431,4000,0.0003712258478626,TraceLog,trial_0001_804c2315,11,4,44.56123527139425,3911.75390625,2668.5869140625,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_augmentation_five_seed,tracelog_augmentation_confirmation,1,trial_0001_804c2315,0.001,0.0,0.01,0.195,0.195,0.15,0.27
0.34575,0.7917252758881455,0.7462810944271575,0.01,40.0,1.0,0.0289226319595083,0.01,0.4367317425885755,0.0010302656481508,0.965391621129326,0.3832248734634851,0.5486542443064182,0.5196384922986205,0.0072602216278181,0.798712517382452,0.7514974670560155,0.0019694195321026,0.568082571517065,0.5954365132574204,4000,0.0005147042046301,TraceLog,trial_0001_804c2315,22,5,60.08316629566252,3928.41015625,2668.5869140625,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_augmentation_five_seed,tracelog_augmentation_confirmation,1,trial_0001_804c2315,0.001,0.0,0.01,0.195,0.195,0.15,0.27
0.34575,0.8215971216621064,0.7715444653455067,0.01,40.0,1.0,0.0289226319595083,0.01,0.3759942154736081,0.0008587847475428,0.9387387387387388,0.3767172812725958,0.5376676986584107,0.5004323359199696,0.0129919755445166,0.8239554434531877,0.7758001537574993,0.0015908150562263,0.6359237987561721,0.6231379480879631,4000,0.0008097384772263,TraceLog,trial_0001_804c2315,33,6,74.42396116629243,3912.04296875,2668.5869140625,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_augmentation_five_seed,tracelog_augmentation_confirmation,1,trial_0001_804c2315,0.001,0.0,0.01,0.195,0.195,0.15,0.27
0.34575,0.8315788557545897,0.7799371449068769,0.01,40.0,1.0,0.0289226319595083,0.01,0.3449023861171366,0.0019728426449,0.9376218323586744,0.3477946493130875,0.5073839662447257,0.4773175698751642,0.0122277416889568,0.8338288696384477,0.7790610043290916,0.0024505347588201,0.5428683801972254,0.5782959694609922,4000,0.0007694102642126,TraceLog,trial_0001_804c2315,44,7,93.10341802425684,3912.0546875,2668.5869140625,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_augmentation_five_seed,tracelog_augmentation_confirmation,1,trial_0001_804c2315,0.001,0.0,0.01,0.195,0.195,0.15,0.27
0.34575,0.8241574155965045,0.7723437713063569,0.01,40.0,1.0,0.0289226319595083,0.01,0.3600867678958785,0.0024333367031067,0.9349005424954792,0.373825018076645,0.5340909090909091,0.496152570617581,0.0137562094000764,0.8257035662312524,0.7733526186825002,0.0039647737588966,0.6175577340549072,0.6241463775769035,4000,0.0004932634746655,TraceLog,trial_0001_804c2315,55,4,56.33575628325343,3912.0546875,2668.5869140625,8570625,cuda,normal_train_scores,auc_ap_mean,validation,2000,4000,seeded_stratified,hyperparameter_augmentation_five_seed,tracelog_augmentation_confirmation,1,trial_0001_804c2315,0.001,0.0,0.01,0.195,0.195,0.15,0.27
