rank,trial_index,trial_id,training.learning_rate,model.deviation_weight,ssl.loss_weight,model.attention_temperature,model.prototype_momentum,selection_score_mean,selection_score_std,auc_mean,auc_std,ap_mean,ap_std,mean_svdd_loss_mean,mean_svdd_loss_std,epochs_completed_mean,training_seconds_mean
1,13,trial_0013_ee06112b,0.003,1.0,0.001,2.0,0.7,0.8158860625646774,,0.8505498698509191,,0.7812222552784358,,0.00080854497588,,4.0,46.02281949296594
2,8,trial_0008_e3ac475b,0.003,1.0,0.001,1.0,0.5,0.8108306544378616,,0.8442287772451719,,0.7774325316305513,,0.0007857034722619,,4.0,45.99006836488843
3,15,trial_0015_06aaf7b6,0.003,1.0,0.001,2.0,0.99,0.8088633039560216,,0.8374925503776824,,0.7802340575343606,,0.0016169055581631,,4.0,52.56756145507097
4,4,trial_0004_9a016409,0.003,1.0,0.001,0.5,0.5,0.8040925579964195,,0.8384692556124633,,0.7697158603803756,,0.0006731443760363,,5.0,59.98942734114826
5,10,trial_0010_407299c6,0.003,1.0,0.001,1.0,0.9,0.7990361336278491,,0.8348287837104909,,0.7632434835452073,,0.0007424423327611,,5.0,58.70078559406102
6,12,trial_0012_6fd30fe0,0.003,1.0,0.001,2.0,0.5,0.7973893664185172,,0.8249420953325094,,0.769836637504525,,0.0007646041685729,,5.0,58.933952540159225
7,11,trial_0011_9cf13f2c,0.003,1.0,0.001,1.0,0.99,0.7943790188720505,,0.8240683102391588,,0.7646897275049422,,0.0011480642255774,,5.0,59.56286031939089
8,6,trial_0006_017f9607,0.003,1.0,0.001,0.5,0.9,0.7938312483929721,,0.8293092248773316,,0.7583532719086126,,0.0007547005968808,,5.0,59.07268289476633
9,3,trial_0003_6999726e,0.003,1.0,0.001,0.25,0.99,0.788639014726137,,0.8198583929372192,,0.7574196365150547,,0.0015788074105876,,4.0,50.65910118445754
10,9,trial_0009_7a2f77ca,0.003,1.0,0.001,1.0,0.7,0.7864545198726873,,0.8191984607014983,,0.7537105790438763,,0.0008290289627475,,4.0,46.36748995445669
11,1,trial_0001_b0e1a6e4,0.003,1.0,0.001,0.25,0.7,0.7845289677461036,,0.8114040213731288,,0.7576539141190785,,0.0007389245257545,,6.0,71.93814254924655
12,7,trial_0007_8acf2f8a,0.003,1.0,0.001,0.5,0.99,0.7821149453420098,,0.8149787349028585,,0.7492511557811611,,0.0013829967175406,,5.0,57.2225678358227
13,14,trial_0014_0edbd670,0.003,1.0,0.001,2.0,0.9,0.7819817657762363,,0.8118480285336076,,0.7521155030188651,,0.0005671590110032,,5.0,68.26789183914661
14,5,trial_0005_92afaae5,0.003,1.0,0.001,0.5,0.7,0.7741034547316408,,0.8024151558128053,,0.7457917536504761,,0.0007794416484684,,6.0,71.1864753626287
15,0,trial_0000_ce391823,0.003,1.0,0.001,0.25,0.5,0.7474025357904359,,0.7862526873208739,,0.7085523842599979,,0.0005812532597665,,5.0,59.37075203098357
16,2,trial_0002_17aa2878,0.003,1.0,0.001,0.25,0.9,0.7437993973130897,,0.7811148309719722,,0.7064839636542073,,0.0007271586066999,,5.0,60.51717410795391
