rank,trial_index,trial_id,training.learning_rate,model.deviation_weight,ssl.loss_weight,model.hidden_dim,model.output_dim,model.num_layers,model.dropout,augmentation.edge_perturbation_rate,augmentation.edge_addition_rate,augmentation.node_type_swap_rate,augmentation.edge_type_swap_rate,selection_score_mean,selection_score_std,auc_mean,auc_std,ap_mean,ap_std,mean_svdd_loss_mean,mean_svdd_loss_std,epochs_completed_mean,training_seconds_mean
1,9,trial_0009_a23d1ce7,0.001,0.0,0.01,128,128,2,0.1,0.195,0.195,0.15,0.27,0.822051613101469,,0.853722711311628,,0.7903805148913101,,0.0025308398505003,,4.0,54.93852496147156
2,8,trial_0008_ab206bca,0.001,0.0,0.01,128,128,2,0.1,0.065,0.065,0.05,0.09,0.8092414299553983,,0.8414796352123374,,0.7770032246984591,,0.0027398979014542,,4.0,53.16124119237065
3,0,trial_0000_e2f9332f,0.001,0.0,0.01,128,128,2,0.1,0.13,0.13,0.1,0.18,0.8039017177364034,,0.8288310952001637,,0.778972340272643,,0.0019708403073746,,5.0,52.55607242695987
4,3,trial_0003_c3ddb9db,0.001,0.0,0.01,64,64,2,0.1,0.13,0.13,0.1,0.18,0.7903640503144924,,0.8194768286008027,,0.7612512720281821,,0.0028862997748146,,7.0,71.07925656624138
5,7,trial_0007_ebf40daf,0.001,0.0,0.01,128,128,2,0.1,0.0,0.0,0.0,0.0,0.7837316606328701,,0.8152470180097815,,0.7522163032559589,,0.0013931293941896,,6.0,71.74963299930096
6,5,trial_0005_2317cb8c,0.001,0.0,0.01,128,128,1,0.1,0.13,0.13,0.1,0.18,0.7680396760316438,,0.7994449772346173,,0.7366343748286703,,0.0025937384877761,,5.0,46.93904015049338
7,6,trial_0006_117adee0,0.001,0.0,0.01,128,128,3,0.1,0.13,0.13,0.1,0.18,0.7465976023203216,,0.7871538256867122,,0.7060413789539308,,0.0029021667891647,,4.0,62.57319704070687
8,4,trial_0004_97d3d06b,0.001,0.0,0.01,256,256,2,0.1,0.13,0.13,0.1,0.18,0.7398378055300658,,0.7639575598781093,,0.7157180511820223,,0.0022681251769536,,4.0,69.81762737594545
9,2,trial_0002_91f040d7,0.001,0.0,0.01,128,128,2,0.3,0.13,0.13,0.1,0.18,0.7362996175224812,,0.7539882590913023,,0.71861097595366,,0.0027505126525793,,4.0,42.02642390318215
10,1,trial_0001_56941591,0.001,0.0,0.01,128,128,2,0.0,0.13,0.13,0.1,0.18,0.6936206934514595,,0.7168188917724948,,0.6704224951304241,,0.0013418881090947,,7.0,73.87483075633645
