method,dataset,auc,ap,provenance
OCHetGCN,TraceLog,0.682,0.518,manuscript
GLocalKD,TraceLog,0.467,0.594,manuscript
HGT,TraceLog,0.613,0.537,manuscript
DeepTraLog,TraceLog,0.657,0.498,manuscript
HRGCN,TraceLog,0.844,0.724,manuscript
HRA-GNN,TraceLog,0.863,0.765,manuscript
OCHetGCN,FlowGraph,0.952,0.954,manuscript
GLocalKD,FlowGraph,0.618,0.612,manuscript
HGT,FlowGraph,0.855,0.762,manuscript
DeepTraLog,FlowGraph,0.928,0.821,manuscript
HRGCN,FlowGraph,1.000,1.000,manuscript
HRA-GNN,FlowGraph,1.000,1.000,manuscript
