dataset,mode,auc_mean,auc_std,ap_mean,ap_std,n
FlowGraph,paper_product_svdd_x_1_plus_ssl_anomaly,0.720352,0.41196480859413226,0.7400237252596332,0.3400979131406669,5
FlowGraph,product_svdd_x_ssl_anomaly,0.72328,0.41121989446037266,0.7425149698068206,0.3377165568240173,5
FlowGraph,ssl_anomaly,0.777728,0.4296747815732266,0.8364352161181282,0.31728097393627025,5
FlowGraph,svdd,0.71872,0.41237257716778397,0.7390850783267549,0.3409844719335771,5
FlowGraph,wrong_product_svdd_x_ssl_probability,0.717264,0.4127970635554473,0.7382288603105043,0.3418390195026295,5
TraceLog,paper_product_svdd_x_1_plus_ssl_anomaly,0.8112674759392245,0.02715908135673885,0.729342553576924,0.040231349862276874,5
TraceLog,product_svdd_x_ssl_anomaly,0.8109344818036132,0.02835121662830565,0.7289683642154223,0.042568422002478304,5
TraceLog,ssl_anomaly,0.531134625542938,0.20553967738065115,0.45966148961893083,0.1578118651307484,5
TraceLog,svdd,0.810992438628795,0.02688574526908546,0.7296426736063689,0.038525348465071045,5
TraceLog,wrong_product_svdd_x_ssl_probability,0.8074927361198423,0.02925920018357568,0.726479919842714,0.03880781985035693,5
